"Latitude","Longitude","Name","Description","Telephone","Photo","WebPage"
-65.409766,-24.791132,AndarSalta Rent a Car & Car,Buenos Aires 88 Loc. 14,0387-154812614,./fotos/andarsalta.jpg,http://www.andarsalta.com
-65.409838,-24.791297,Argentina Car Rental,Buenos Aires 102,0387-4321616,./fotos/carrental.jpg,http://www.argentina-carrental.com.ar
-65.408591,-24.790002,Avis Rent a Car,Caseros 420,0387-4212181,./fotos/avis.jpg,http://www.avis.com.ar
-65.408929,-24.791283,Lead Rent a Car,Alvarado 537,0387-156857396,./fotos/lead.jpg,http://leadrentacar.com.ar
-65.407907,-24.791319,Anta Alquiler de Autos,Alvarado 464,0387-4319147,./fotos/anta.jpg,http://www.antarentacar.com
-65.408779,-24.792563,Loira Rent a Car,Urquiza 418,0387-154576818,./fotos/loira.jpg,http://www.loirarentacar.com.ar







